Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0141  0.4800       0.95162      0.19059      -1.80614     0.51241      0.00354      -0.09358     -0.15491     -0.01709     -0.17807     byEQ         
lammps_0142  0.4200       0.95164      0.19362      -1.68881     0.38818      0.00465      -0.08392     -0.14475     -0.01538     -0.16821     byEQ         
lammps_0143  0.4000       0.95165      0.20140      -1.74191     0.70880      0.00277      -0.08549     -0.14894     -0.01493     -0.16939     byEQ         
lammps_0144  0.4400       0.95231      0.18714      -1.85547     0.29786      0.00385      -0.08044     -0.14137     -0.01749     -0.16632     byEQ         
lammps_0145  0.4800       0.95227      0.19039      -1.80808     0.50141      0.00032      -0.09145     -0.15225     -0.01755     -0.17584     byEQ         
lammps_0146  0.4200       0.95280      0.19474      -1.91347     0.65669      0.00383      -0.08706     -0.14999     -0.01888     -0.17162     byEQ         
lammps_0147  0.4400       0.95269      0.18622      -1.87260     0.28121      0.00351      -0.08036     -0.14153     -0.01749     -0.16625     byEQ         
lammps_0148  0.4800       0.95263      0.19023      -1.81019     0.48947      0.00020      -0.09005     -0.15055     -0.01767     -0.17434     byEQ         
lammps_0149  0.4200       0.95287      0.19480      -1.91347     0.65567      0.00389      -0.08710     -0.15020     -0.01878     -0.17174     byEQ         
lammps_0150  0.4400       0.95308      0.18878      -1.84069     0.34256      0.00332      -0.08306     -0.14482     -0.01614     -0.16818     byEQ         
lammps_0151  0.8889       0.95833      0.28701      2.01156      0.73755      -0.02021     -0.11279     -0.15394     -0.03760     -0.19825     byEQ         
lammps_0152  0.8889       0.96463      0.28466      1.88876      0.71057      -0.02086     -0.11530     -0.15649     -0.03834     -0.20043     byEQ         
lammps_0153  0.8889       0.96488      0.28659      1.91358      0.70414      0.00428      -0.11061     -0.15234     -0.03659     -0.19642     byEQ         
lammps_0154  0.8889       0.97019      0.28337      1.70165      0.48133      0.00348      -0.09722     -0.14082     -0.02512     -0.17945     byEQ         
lammps_0155  0.8889       0.97114      0.28753      1.79120      0.56991      0.00365      -0.10102     -0.14367     -0.02393     -0.18037     byEQ         
lammps_0156  0.8889       0.97144      0.28615      1.72785      0.54316      0.00351      -0.09726     -0.14080     -0.02240     -0.17758     byEQ         
